fecha,codigoSucursal,codigoProducto,monto,tipo
2026-01-01,SUC001,PROD001,-10.00,INGRESO
2026-01-02,SUC002,PROD002,11.00,EGRESO
2026-01-03,SUC003,PROD003,12.00,INVALIDO
2026-01-04,SUC404,PROD404,13.00,INGRESO
2026-01-05,SUC001,PROD001,14.00,EGRESO
2026-01-06,SUC002,PROD002,15.00,INVALIDO
2026-01-07,SUC003,PROD003,16.00,INGRESO
2026-01-08,SUC404,PROD404,17.00,EGRESO
2026-01-09,SUC001,PROD001,18.00,INVALIDO
2026-01-10,SUC002,PROD002,19.00,INGRESO
2026-01-11,SUC003,PROD003,20.00,EGRESO
2026-01-12,SUC404,PROD404,21.00,INVALIDO
2026-01-13,SUC001,PROD001,22.00,INGRESO
2026-01-14,SUC002,PROD002,23.00,EGRESO
2026-01-15,SUC003,PROD003,24.00,INVALIDO
2026-01-16,SUC404,PROD404,-10.00,INGRESO
2026-01-17,SUC001,PROD001,26.00,EGRESO
2026-01-18,SUC002,PROD002,27.00,INVALIDO
2026-01-19,SUC003,PROD003,28.00,INGRESO
2026-01-20,SUC404,PROD404,29.00,EGRESO
2026-01-21,SUC001,PROD001,30.00,INVALIDO
2026-01-22,SUC002,PROD002,31.00,INGRESO
2026-01-23,SUC003,PROD003,32.00,EGRESO
2026-01-24,SUC404,PROD404,33.00,INVALIDO
2026-01-25,SUC001,PROD001,34.00,INGRESO
2026-01-26,SUC002,PROD002,35.00,EGRESO
2026-01-27,SUC003,PROD003,36.00,INVALIDO
2026-01-28,SUC404,PROD404,37.00,INGRESO
2026-01-29,SUC001,PROD001,38.00,EGRESO
2026-01-30,SUC002,PROD002,39.00,INVALIDO
2026-01-31,SUC003,PROD003,-10.00,INGRESO
2026-01-01,SUC404,PROD404,41.00,EGRESO
2026-01-02,SUC001,PROD001,42.00,INVALIDO
2026-01-03,SUC002,PROD002,43.00,INGRESO
2026-01-04,SUC003,PROD003,44.00,EGRESO
2026-01-05,SUC404,PROD404,45.00,INVALIDO
2026-01-06,SUC001,PROD001,46.00,INGRESO
2026-01-07,SUC002,PROD002,47.00,EGRESO
2026-01-08,SUC003,PROD003,48.00,INVALIDO
2026-01-09,SUC404,PROD404,49.00,INGRESO
2026-01-10,SUC001,PROD001,50.00,EGRESO
2026-01-11,SUC002,PROD002,51.00,INVALIDO
2026-01-12,SUC003,PROD003,52.00,INGRESO
2026-01-13,SUC404,PROD404,53.00,EGRESO
2026-01-14,SUC001,PROD001,54.00,INVALIDO
2026-01-15,SUC002,PROD002,-10.00,INGRESO
2026-01-16,SUC003,PROD003,56.00,EGRESO
2026-01-17,SUC404,PROD404,57.00,INVALIDO
2026-01-18,SUC001,PROD001,58.00,INGRESO
2026-01-19,SUC002,PROD002,59.00,EGRESO
2026-01-20,SUC003,PROD003,60.00,INVALIDO
2026-01-21,SUC404,PROD404,61.00,INGRESO
2026-01-22,SUC001,PROD001,62.00,EGRESO
2026-01-23,SUC002,PROD002,63.00,INVALIDO
2026-01-24,SUC003,PROD003,64.00,INGRESO
2026-01-25,SUC404,PROD404,65.00,EGRESO
2026-01-26,SUC001,PROD001,66.00,INVALIDO
2026-01-27,SUC002,PROD002,67.00,INGRESO
2026-01-28,SUC003,PROD003,68.00,EGRESO
2026-01-29,SUC404,PROD404,69.00,INVALIDO
2026-01-30,SUC001,PROD001,-10.00,INGRESO
2026-01-31,SUC002,PROD002,71.00,EGRESO
2026-01-01,SUC003,PROD003,72.00,INVALIDO
2026-01-02,SUC404,PROD404,73.00,INGRESO
2026-01-03,SUC001,PROD001,74.00,EGRESO
2026-01-04,SUC002,PROD002,75.00,INVALIDO
2026-01-05,SUC003,PROD003,76.00,INGRESO
2026-01-06,SUC404,PROD404,77.00,EGRESO
2026-01-07,SUC001,PROD001,78.00,INVALIDO
2026-01-08,SUC002,PROD002,79.00,INGRESO
2026-01-09,SUC003,PROD003,80.00,EGRESO
2026-01-10,SUC404,PROD404,81.00,INVALIDO
2026-01-11,SUC001,PROD001,82.00,INGRESO
2026-01-12,SUC002,PROD002,83.00,EGRESO
2026-01-13,SUC003,PROD003,84.00,INVALIDO
2026-01-14,SUC404,PROD404,-10.00,INGRESO
2026-01-15,SUC001,PROD001,86.00,EGRESO
2026-01-16,SUC002,PROD002,87.00,INVALIDO
2026-01-17,SUC003,PROD003,88.00,INGRESO
2026-01-18,SUC404,PROD404,89.00,EGRESO
2026-01-19,SUC001,PROD001,90.00,INVALIDO
2026-01-20,SUC002,PROD002,91.00,INGRESO
2026-01-21,SUC003,PROD003,92.00,EGRESO
2026-01-22,SUC404,PROD404,93.00,INVALIDO
2026-01-23,SUC001,PROD001,94.00,INGRESO
2026-01-24,SUC002,PROD002,95.00,EGRESO
2026-01-25,SUC003,PROD003,96.00,INVALIDO
2026-01-26,SUC404,PROD404,97.00,INGRESO
2026-01-27,SUC001,PROD001,98.00,EGRESO
2026-01-28,SUC002,PROD002,99.00,INVALIDO
2026-01-29,SUC003,PROD003,-10.00,INGRESO
2026-01-30,SUC404,PROD404,101.00,EGRESO
2026-01-31,SUC001,PROD001,102.00,INVALIDO
2026-01-01,SUC002,PROD002,103.00,INGRESO
2026-01-02,SUC003,PROD003,104.00,EGRESO
2026-01-03,SUC404,PROD404,105.00,INVALIDO
2026-01-04,SUC001,PROD001,106.00,INGRESO
2026-01-05,SUC002,PROD002,107.00,EGRESO
2026-01-06,SUC003,PROD003,108.00,INVALIDO
2026-01-07,SUC404,PROD404,109.00,INGRESO
2026-01-08,SUC001,PROD001,110.00,EGRESO
2026-01-09,SUC002,PROD002,111.00,INVALIDO
2026-01-10,SUC003,PROD003,112.00,INGRESO
2026-01-11,SUC404,PROD404,113.00,EGRESO
2026-01-12,SUC001,PROD001,114.00,INVALIDO
2026-01-13,SUC002,PROD002,-10.00,INGRESO
